﻿Daily Discharge (m3/s) (PARAM = 1) and Daily Water Level (m) (PARAM = 2)
 ID,PARAM,TYPE,YEAR,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08MF005,1,1,1912,01,,,,,538,,578,,2030,,6170,,6340,,3960,,3000,,1410,,1180,,838,
08MF005,1,1,1912,02,,,,,538,,677,,2160,,6170,,6170,,3910,,2860,,1490,,1150,,864,
08MF005,1,1,1912,03,,,,,538,,637,,2520,,6000,,6000,,3910,,2860,,1490,,1120,,813,
08MF005,1,1,1912,04,,,,,538,,677,,2860,,5640,,5270,,3960,,2760,,1380,,1050,,838,
08MF005,1,1,1912,05,,,,,538,,677,,3000,,5380,,5580,,4080,,2520,,1300,,1020,,864,
08MF005,1,1,1912,06,,,,,538,,677,,3140,,5100,,5150,,4080,,2470,,1490,,991,,813,
08MF005,1,1,1912,07,,,,,479,,716,,3310,,4980,,5040,,4020,,2430,,1670,,1050,,838,
08MF005,1,1,1912,08,,,,,479,,736,,3510,,5040,,5040,,3960,,2380,,2030,,1020,,787,
08MF005,1,1,1912,09,,,,,459,,762,,3770,,4930,,4980,,4020,,2380,,1790,,1050,,736,
08MF005,1,1,1912,10,,,,,459,,787,,3960,,4930,,4980,,4080,,2290,,1750,,1050,,736,
08MF005,1,1,1912,11,,,,,459,,787,,4130,,4980,,4810,,3960,,2380,,1710,,1020,,762,
08MF005,1,1,1912,12,,,,,459,,864,,4390,,5210,,4530,,3960,,2290,,1750,,991,,787,
08MF005,1,1,1912,13,,,,,459,,889,,4470,,5470,,4640,,4020,,2340,,1750,,1240,,838,
08MF005,1,1,1912,14,,,,,439,,915,,4470,,5580,,4640,,4280,,2160,,1670,,1120,,838,
08MF005,1,1,1912,15,,,,,419,,966,,5100,,5640,,4700,,4280,,2030,,1670,,1050,,787,
08MF005,1,1,1912,16,,,,,439,,991,,5470,,6060,,4980,,4160,,2070,,1600,,1050,,762,
08MF005,1,1,1912,17,,,,,459,,1210,,5470,,6170,,4810,,3880,,2070,,1670,,966,,716,
08MF005,1,1,1912,18,,,,,479,,1150,,5640,,6570,,4590,,3770,,2070,,1600,,1020,,716,
08MF005,1,1,1912,19,,,,,479,,1210,,6460,,6460,,4470,,3770,,2030,,1560,,1270,,697,
08MF005,1,1,1912,20,,,,,459,,1300,,6510,,6630,,4420,,3880,,1990,,1560,,1120,,677,
08MF005,1,1,1912,21,,,,,479,,1380,,6570,,6850,,4390,,3880,,1990,,1600,,1050,,677,
08MF005,1,1,1912,22,,,,,459,,1490,,6460,,7250,,4330,,3880,,1950,,1490,,1150,,677,
08MF005,1,1,1912,23,,,,,439,,1600,,6060,,7360,,4390,,3880,,1870,,1490,,1240,,697,
08MF005,1,1,1912,24,,,,,439,,1670,,6290,,7420,,4280,,3960,,1830,,1410,,1210,,716,
08MF005,1,1,1912,25,,,,,399,,1670,,6740,,7420,,4390,,4080,,1750,,1410,,1120,,697,
08MF005,1,1,1912,26,,,,,479,,1710,,6800,,7190,,4420,,4390,,1670,,1410,,966,,736,
08MF005,1,1,1912,27,,,,,498,,1870,,6850,,7020,,4420,,4390,,1670,,1300,,940,,677,
08MF005,1,1,1912,28,,,,,558,,1950,,6740,,7020,,4280,,4160,,1670,,1240,,940,,716,
08MF005,1,1,1912,29,,,,,578,,1990,,6740,,6740,,4080,,3510,,1600,,1300,,915,,736,
08MF005,1,1,1912,30,,,,,538,,2070,,6570,,6460,,4020,,3450,,1490,,1270,,889,,762,
08MF005,1,1,1912,31,,,,,518,,,,6460,,,,4080,,3260,,,,1210,,,,787,
