#
#
# US Geological Survey
# retrieved: 2024-04-18 12:25:19 EDT
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  drain_area_va   -- Drainage area
#  contrib_drain_area_va -- Contributing drainage area
#
#
# query started 2024-04-18 12:25:19 EDT
#
# there are 31 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	drain_area_va	contrib_drain_area_va
5s	15s	50s	16n	16n	1s	10s	8s	8s
USGS	12045500	ELWHA RIVER AT MCDONALD BR NEAR PORT ANGELES, WA	48.05481140	-123.58324620	S	NAD83	269	
USGS	12048000	DUNGENESS RIVER NEAR SEQUIM, WA	48.01425780	-123.13267730	S	NAD83	156	
USGS	12052000	LITTLE QUILCENE RIVER NEAR QUILCENE, WA	47.83731350	-122.88738730	S	NAD83	23.70	
USGS	12052210	BIG QUILCENE RIVER BELOW DIVERSION NR QUILCENE, WA	47.78453566	-122.97961000	S	NAD83	49.4	
USGS	12053000	DOSEWALLIPS RIVER NEAR BRINNON, WA	47.72620248	-123.00960850	S	NAD83	93.50	
USGS	12054000	DUCKABUSH RIVER NEAR BRINNON, WA	47.68398059	-123.01155100	S	NAD83	66.5	
USGS	12059500	NORTH FORK SKOKOMISH RIVER NEAR POTLATCH, WA	47.32981429	-123.24321280	S	NAD83	117	
USGS	12060500	SOUTH FORK SKOKOMISH RIVER NEAR UNION, WA	47.34036949	-123.28015860	S	NAD83	76.3	
USGS	12063500	UNION RIVER NEAR BELFAIR, WA	47.47203818	-122.82736630	S	NAD83	19.80	
USGS	12064500	MISSION CREEK NEAR BREMERTON, WA	47.53314889	-122.83598080	S	NAD83	1.91	
USGS	12065000	MISSION CREEK NEAR BELFAIR, WA	47.48870465	-122.86375760	S	NAD83	4.43	
USGS	12066000	TAHUYA RIVER NEAR BREMERTON, WA	47.54981546	-122.84848250	S	NAD83	5.99	
USGS	12067500	TAHUYA RIVER NEAR BELFAIR, WA	47.49426010	-122.90764880	S	NAD83	15.00	
USGS	12069550	BIG BEEF CREEK NEAR SEABECK, WA	47.64064868	-122.78515270	S	NAD83	13.8	
USGS	12073500	HUGE CREEK NEAR WAUNA, WA	47.38926205	-122.69902410	S	NAD83	6.47	
USGS	12075000	DEER CREEK NEAR SHELTON, WA	47.26648400	-123.00542750	S	NAD83	13.60	
USGS	12076800	GOLDSBOROUGH CREEK ABOVE 7TH STREET AT SHELTON, WA	47.21176109	-123.11292920	S	NAD83	54.9	
USGS	12089500	NISQUALLY RIVER AT MCKENNA, WA	46.93343245	-122.56095630	S	NAD83	517	
USGS	12101500	PUYALLUP RIVER AT PUYALLUP, WA	47.20843358	-122.32706520	S	NAD83	948	
USGS	12113000	GREEN RIVER NEAR AUBURN, WA	47.31232280	-122.20400820	S	NAD83	399	
USGS	12119000	CEDAR RIVER AT RENTON, WA	47.48259990	-122.20345470	S	NAD83	184	
USGS	12134500	SKYKOMISH RIVER NEAR GOLD BAR, WA	47.83732546	-121.66678090	S	NAD83	535	
USGS	12149000	SNOQUALMIE RIVER NEAR CARNATION, WA	47.66593399	-121.92539690	S	NAD83	603	
USGS	12150800	SNOHOMISH RIVER NEAR MONROE, WA	47.83093200	-122.04845900	S	NAD83	1537	
USGS	12157250	MISSION CREEK NEAR TULALIP, WA	48.05842935	-122.26736350	S	NAD83	7.92	
USGS	12158040	TULALIP CREEK NEAR TULALIP, WA	48.06842940	-122.28792040	S	NAD83	15.4	
USGS	12161000	SF STILLAGUAMISH RIVER NEAR GRANITE FALLS, WA	48.10371240	-121.94568660	S	NAD83	119	
USGS	12167000	NF STILLAGUAMISH RIVER NEAR ARLINGTON, WA	48.26149178	-122.04764070	S	NAD83	262	
USGS	12200500	SKAGIT RIVER NEAR MOUNT VERNON, WA	48.44482780	-122.33543690	S	NAD83	3093	
USGS	12205000	NF NOOKSACK RIVER BL CASCADE CREEK NR GLACIER, WA	48.90595739	-121.84431040	S	NAD83	105	
USGS	12210000	SF NOOKSACK RIVER AT SAXON BRIDGE, WA	48.67761256	-122.16654540	S	NAD83	129	
